episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
86,-3783.711883554258,-3373.491995955217,-2918.5363498244146,-3168.372334225862,-3074.6300908598632,-3263.7485308839227,298.8107660188914
87,-3274.1204076582494,-3374.47416626127,-3217.334316211732,-3263.8760615100314,-3320.617344986102,-3290.084459325477,53.45688754170181
88,-3125.6345613849576,-3026.6335363356625,-3186.586998666254,-2870.456308231355,-3078.5412223014923,-3057.570525383944,107.41188114557886
89,-3374.1570593798124,-3224.020518923912,-3323.7756410445086,-3321.0363569315123,-3325.481196651988,-3313.694154586347,48.97265043700097
90,-3274.141604437955,-2968.092689321864,-3528.551715408387,-2812.583205995245,-3385.2865675833787,-3193.7311565493656,265.1228395914253
91,-3532.066862593687,-3272.2090684186064,-3371.8860257555943,-3424.8555528863003,-3386.7749487492083,-3397.558491680679,84.05411306188232
92,-3273.6448220571415,-3275.8437508132265,-3130.0018978617113,-2916.66445993229,-2922.934183845255,-3103.817822901925,159.28905012369023
93,-3329.5044781858214,-3271.8510082482444,-2821.8904997240456,-3269.915013223201,-3424.062119809435,-3223.4446238381497,208.44397910630062
94,-3169.7250605350123,-3377.530729462996,-2818.6878545543536,-3515.9547802402762,-3326.9341502522498,-3241.7665150089774,238.7677435938951
95,-2821.9306597909886,-3326.7982944791256,-3325.7154296290746,-3460.450051590491,-3225.484066306097,-3232.0757003591557,218.2466572376523
96,-3027.185918074737,-3312.8340327127344,-2777.953228631326,-3017.81640836586,-3521.411394866703,-3131.4401965302723,258.34613046238877
97,-3162.70158844593,-2820.1812615658687,-3380.508632571995,-3025.826874865866,-3580.968424974424,-3194.037356484817,265.90685014162443
98,-3273.654925963291,-3174.732769225053,-2820.6241394126673,-2916.5663957932247,-2971.918802681678,-3031.4994066151826,167.56068475313438
99,-3582.8535465546065,-3368.7902320242406,-3426.1689562613597,-3322.0544789799437,-3531.4387085046365,-3446.2611844649573,97.71943079700996
100,-3226.517648206793,-3279.544405699446,-3337.5059354125037,-3373.8712246829537,-3531.1213899287563,-3349.712120786091,103.67484025347876
101,-3485.5994236000424,-2920.3581173239672,-2779.4041260880704,-3118.316836295376,-3272.5564575655553,-3115.2469921746024,250.0754764262227
102,-3118.498235108101,-2766.3801064706136,-3583.942568763268,-3067.567802306869,-2963.333929630277,-3099.9445284558255,270.3975868139031
103,-2820.669900530679,-2910.3871832415775,-3481.228889087308,-3024.0517041892545,-3433.0443790604545,-3133.876411221855,272.12586664898504
104,-3322.878770953304,-3326.2077838000673,-3134.6676757540026,-3275.7707537648157,-3324.0761885846237,-3276.7202345713627,73.48747562742115
105,-3474.6479790577037,-3068.3067863805404,-3177.8371611095026,-3286.8847419603153,-2873.763298211734,-3176.287993343959,202.20477443547352
106,-3420.3161967395868,-3068.655903664532,-3421.219346421444,-3125.1032939506003,-3227.5441252327064,-3252.5677732017734,146.47855743010797
107,-2974.1324645171608,-3069.2673500684937,-3324.4728085764004,-3021.0643929546923,-3422.9992326693996,-3162.3872497572293,177.9177696318112
108,-3379.669788474848,-3570.1279087764055,-3222.6203069509793,-2920.817063510096,-4034.3189074264005,-3425.510795027746,371.36050893395407
109,-2872.600420334252,-3271.7155671015125,-2672.3607461123033,-3217.7481194747947,-2773.7984289566803,-2961.6446563959084,240.26369486658962
110,-2971.156065315454,-3418.186813787815,-2777.999992836003,-2805.4450491347084,-2769.525473615828,-2948.4626789379618,246.04302301908587
111,-3224.139757595648,-3114.873049116906,-3588.935807275044,-3215.4689863789763,-3267.832350692508,-3282.2499902118166,161.3168315675488
112,-3023.683174191955,-3176.388859564426,-3173.9905864950283,-3013.966451530125,-3285.0119493927127,-3134.6082042348494,102.73916150665443
113,-3075.0321515261685,-3175.635135867615,-2980.0157655792245,-3119.441366178199,-3232.335744393252,-3116.492032708892,86.33778314654545
114,-3121.326209636704,-3622.478204506762,-3528.559231139754,-3068.4547794999535,-2976.6496271910596,-3263.4936103948467,260.63802800280973
115,-3534.428049529395,-3323.8539057716885,-3180.7818043651296,-3178.8377997361517,-3224.6042008854356,-3288.50115205756,133.74766179192758
116,-3221.76256137991,-2963.9838423928045,-3126.8496109809475,-2920.1711790268196,-3073.5840583303284,-3061.2702504221625,109.16378283014883
